week_number,team,goals,assists,plus_minus,pims,ppp,hits,blocks,wins,gaa,saves,save_p,score
15,Double Pennertration,13,11,-3,57,5,83,40,2,3.96,108,.885,5
15,Lookin Sharp,7,17,-3,31,7,35,28,3,2.70,94,.895,5
15,The Saadfather,12,18,5,37,12,67,40,2,3.86,154,.875,5
15,Hamhuis Sandwich's,8,23,0,8,9,27,31,4,2.63,191,.914,7
15,Yippee Kai Yo Paille,9,19,5,23,11,64,39,3,3.45,167,.879,5
15,At the Helm,14,16,-5,21,8,57,26,0,2.58,102,.887,4
15,Teemu's Salami,2,16,-8,12,5,58,36,3,2.07,121,.931,5
15,Chris's Team,8,12,-9,18,7,36,23,4,1.43,129,.942,6
15,Big Douche-Hayne,15,22,2,45,9,63,25,2,4.04,89,.873,4
15,Keith's Great Team,13,26,-1,27,17,47,34,4,2.79,170,.899,7
